Question,Model,Response
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Verzenio and Abemaciclib. 

    Verzenio = []
    Abemaciclib = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Verzenio': '[""effective"", ""has side effects""]', 'Abemaciclib': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Abatitor and Abiraterone. 

    Abatitor = []
    Abiraterone = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Abatitor': '[""unsafe"", ""ineffective""]', 'Abiraterone': '[""safe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Calquence and Acalabrutinib. 

    Calquence = []
    Acalabrutinib = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Calquence': '[""safe"", ""effective"", ""has side effects""]', 'Acalabrutinib': '[""safe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Aclacin and Aclarubicin. 

    Aclacin = []
    Aclarubicin = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Aclacin': '[""safe"", ""effective"", ""side effect free""]', 'Aclarubicin': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Kadcyla and Trastuzumab emtansine. 

    Kadcyla = []
    Trastuzumab emtansine = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Kadcyla': '[""effective"", ""has side effects""]', 'emtansine': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Afanix and Afatinib. 

    Afanix = []
    Afatinib = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Afanix': '[""unsafe"", ""ineffective""]', 'Afatinib': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Macrolin and Aldesleukin. 

    Macrolin = []
    Aldesleukin = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Macrolin': '[""safe"", ""effective"", ""side effect free""]', 'Aldesleukin': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Alecensa and Alectinib. 

    Alecensa = []
    Alectinib = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Alecensa': '[""safe"", ""effective"", ""has side effects""]', 'Alectinib': '[""safe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Campath and Alemtuzumab. 

    Campath = []
    Alemtuzumab = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Campath': '[""effective"", ""has side effects""]', 'Alemtuzumab': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs CA ATRA and All-trans retinoic acid. 

    CA ATRA = []
    All-trans retinoic acid = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'ATRA': '[""safe"", ""effective"", ""has side effects""]', 'acid': '[""safe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Hexalen and Altretamine. 

    Hexalen = []
    Altretamine = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Hexalen': '[""effective"", ""has side effects""]', 'Altretamine': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Aminoblastin and Aminoglutethimide. 

    Aminoblastin = []
    Aminoglutethimide = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Aminoblastin': '[""unsafe"", ""ineffective"", ""has side effects""]', 'Aminoglutethimide': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Calsed and Amrubicin. 

    Calsed = []
    Amrubicin = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Calsed': '[""unsafe"", ""ineffective"", ""has side effects""]', 'Amrubicin': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Amekrin and Amsacrine. 

    Amekrin = []
    Amsacrine = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Amekrin': '[""unsafe"", ""ineffective""]', 'Amsacrine': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Altraz and Anastrozole. 

    Altraz = []
    Anastrozole = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Altraz': '[""unsafe"", ""ineffective"", ""has side effects""]', 'Anastrozole': '[""safe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Erleada and Apalutamide. 

    Erleada = []
    Apalutamide = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Erleada': '[""safe"", ""effective"", ""has side effects""]', 'Apalutamide': '[""safe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Aitan and Apatinib. 

    Aitan = []
    Apatinib = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Aitan': '[]', 'Apatinib': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Arsenol and Arsenic trioxide. 

    Arsenol = []
    Arsenic trioxide = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Arsenol': '[""unsafe"", ""ineffective"", ""has side effects""]', 'trioxide': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Asparaginasa and Asparaginase. 

    Asparaginasa = []
    Asparaginase = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Asparaginasa': '[""unsafe"", ""ineffective""]', 'Asparaginase': '[""safe"", ""effective"", ""has side effects""]'}"
