"","concept_code","string","string_type"
"8",4,"Abemaciclib","preferred name"
"9",4,"LY2835219","code name"
"10",4,"Verzenio","brand name"
"11",4,"Verzenios","brand name"
"14",6,"Abiraterone","preferred name"
"15",6,"abiraterone acetate","generic name"
"16",6,"CB7630","code name"
"17",6,"Abatitor","brand name"
"18",6,"Abione","brand name"
"19",6,"Abiracine","brand name"
"20",6,"Abiracure","brand name"
"21",6,"Abirakast","brand name"
"22",6,"Abiramab","brand name"
"23",6,"Abirapro","brand name"
"24",6,"Abirataj","brand name"
"25",6,"Abiratas","brand name"
"26",6,"Arbitus","brand name"
"27",6,"Ariteron","brand name"
"28",6,"Birato","brand name"
"29",6,"MyTera","brand name"
"30",6,"Samtica","brand name"
"31",6,"Xbira","brand name"
"32",6,"Yonsa","brand name"
"33",6,"Zabiteron","brand name"
"34",6,"Zecyte","brand name"
"35",6,"Zelgor","brand name"
"36",6,"Zybuca","brand name"
"37",6,"Zytiga","brand name"
"38",6,"Zytix","brand name"
"39",7,"Acalabrutinib","preferred name"
"40",7,"ACP-196","code name"
"41",7,"Calquence","brand name"
"49",9,"Aclarubicin","preferred name"
"50",9,"aclacinomycin","generic name"
"51",9,"aclacinomycin A","generic name"
"52",9,"aclacinomycin A hydrochloride","generic name"
"53",9,"aclacinomycin-A","generic name"
"54",9,"aclarubicin hydrochloride","generic name"
"55",9,"MA144-A1","code name"
"56",9,"Aclacin","brand name"
"57",9,"Aclacinomycine","brand name"
"58",9,"Aclacinon","brand name"
"59",9,"Aclaplastin","brand name"
"60",9,"Jaclacin","brand name"
"105",12,"Trastuzumab emtansine","preferred name"
"106",12,"ado-trastuzumab emtansine","generic name"
"107",12,"T-DM1","generic name"
"108",12,"TDM1","generic name"
"109",12,"PRO132365","code name"
"110",12,"Kadcyla","brand name"
"111",12,"Ujvira","brand name"
"112",13,"Afatinib","preferred name"
"113",13,"afatinib dimaleate","generic name"
"114",13,"BIBW 2992","code name"
"115",13,"BIBW-2992","code name"
"116",13,"Afanix","brand name"
"117",13,"Gilotrif","brand name"
"118",13,"Giotrif","brand name"
"119",13,"Tomtovok","brand name"
"120",13,"Tovok","brand name"
"121",13,"Xovoltib","brand name"
"124",15,"Aldesleukin","preferred name"
"125",15,"IL-2","generic name"
"126",15,"Interleukin-2","generic name"
"127",15,"Macrolin","brand name"
"128",15,"Proleukin","brand name"
"129",16,"Alectinib","preferred name"
"130",16,"AF-802","code name"
"131",16,"AF802","code name"
"132",16,"CH5424802","code name"
"133",16,"RG7853","code name"
"134",16,"RO5424802","code name"
"135",16,"UNII-LIJ4CT1Z3Y","code name"
"136",16,"Alecensa","brand name"
"137",16,"Alecensaro","brand name"
"138",16,"Alecinix","brand name"
"139",16,"Alecnib","brand name"
