concept_code,string_type_preferred,Unnamed: 0_preferred,string_preferred,string_type_brand,Unnamed: 0_brand,string_brand,prompt1,prompt2,unique_id
4,preferred name,8,Abemaciclib,brand name,10,Verzenio,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Verzenio and Abemaciclib. 

    Verzenio = []
    Abemaciclib = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Abemaciclib and Verzenio. 

    Abemaciclib = []
    Verzenio = []

    Only return the two Python lists with the appropriate adjectives.
    ",1
6,preferred name,14,Abiraterone,brand name,17,Abatitor,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Abatitor and Abiraterone. 

    Abatitor = []
    Abiraterone = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Abiraterone and Abatitor. 

    Abiraterone = []
    Abatitor = []

    Only return the two Python lists with the appropriate adjectives.
    ",2
7,preferred name,39,Acalabrutinib,brand name,41,Calquence,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Calquence and Acalabrutinib. 

    Calquence = []
    Acalabrutinib = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Acalabrutinib and Calquence. 

    Acalabrutinib = []
    Calquence = []

    Only return the two Python lists with the appropriate adjectives.
    ",3
9,preferred name,49,Aclarubicin,brand name,56,Aclacin,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Aclacin and Aclarubicin. 

    Aclacin = []
    Aclarubicin = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Aclarubicin and Aclacin. 

    Aclarubicin = []
    Aclacin = []

    Only return the two Python lists with the appropriate adjectives.
    ",4
12,preferred name,105,Trastuzumab emtansine,brand name,110,Kadcyla,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Kadcyla and Trastuzumab emtansine. 

    Kadcyla = []
    Trastuzumab emtansine = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Trastuzumab emtansine and Kadcyla. 

    Trastuzumab emtansine = []
    Kadcyla = []

    Only return the two Python lists with the appropriate adjectives.
    ",5
13,preferred name,112,Afatinib,brand name,116,Afanix,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Afanix and Afatinib. 

    Afanix = []
    Afatinib = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Afatinib and Afanix. 

    Afatinib = []
    Afanix = []

    Only return the two Python lists with the appropriate adjectives.
    ",6
15,preferred name,124,Aldesleukin,brand name,127,Macrolin,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Macrolin and Aldesleukin. 

    Macrolin = []
    Aldesleukin = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Aldesleukin and Macrolin. 

    Aldesleukin = []
    Macrolin = []

    Only return the two Python lists with the appropriate adjectives.
    ",7
16,preferred name,129,Alectinib,brand name,136,Alecensa,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Alecensa and Alectinib. 

    Alecensa = []
    Alectinib = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Alectinib and Alecensa. 

    Alectinib = []
    Alecensa = []

    Only return the two Python lists with the appropriate adjectives.
    ",8
17,preferred name,140,Alemtuzumab,brand name,142,Campath,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Campath and Alemtuzumab. 

    Campath = []
    Alemtuzumab = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Alemtuzumab and Campath. 

    Alemtuzumab = []
    Campath = []

    Only return the two Python lists with the appropriate adjectives.
    ",9
20,preferred name,323,All-trans retinoic acid,brand name,327,CA ATRA,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs CA ATRA and All-trans retinoic acid. 

    CA ATRA = []
    All-trans retinoic acid = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs All-trans retinoic acid and CA ATRA. 

    All-trans retinoic acid = []
    CA ATRA = []

    Only return the two Python lists with the appropriate adjectives.
    ",10
