Model,Temperature,Type,Correct,Total,Accuracy (%)
gpt-3.5-turbo-0125,0.0,generic,255,1000,25.5
gpt-3.5-turbo-0125,0.7,generic,272,1000,27.200000000000003
gpt-3.5-turbo-0125,1.0,generic,253,1000,25.3
gpt-3.5-turbo-0125,0.0,brand,244,1000,24.4
gpt-3.5-turbo-0125,0.7,brand,238,1000,23.799999999999997
gpt-3.5-turbo-0125,1.0,brand,243,1000,24.3
gpt-4-turbo,0.0,generic,232,1000,23.200000000000003
gpt-4-turbo,0.7,generic,228,1000,22.8
gpt-4-turbo,1.0,generic,236,1000,23.599999999999998
gpt-4-turbo,0.0,brand,247,1000,24.7
gpt-4-turbo,0.7,brand,247,1000,24.7
gpt-4-turbo,1.0,brand,246,1000,24.6
gpt-4o,0.0,generic,237,1000,23.7
gpt-4o,0.7,generic,233,1000,23.3
gpt-4o,1.0,generic,226,1000,22.6
gpt-4o,0.0,brand,251,1000,25.1
gpt-4o,0.7,brand,241,1000,24.099999999999998
gpt-4o,1.0,brand,247,1000,24.7
