Model,Temperature,Type,Correct,Total,Accuracy (%),Std Error,T-Statistic,P-Value
gpt-3.5-turbo-0125,0.0,generic,233,1000,23.3,1.3368283360252355,1.2389770675067273,0.21549951784581944
gpt-3.5-turbo-0125,0.7,generic,240,1000,24.0,1.3505554412907306,2.3862911846936727,0.01711186669757314
gpt-3.5-turbo-0125,1.0,generic,248,1000,24.8,1.365635383255721,2.1343368023828457,0.03293663074376152
gpt-3.5-turbo-0125,0.0,brand,210,1000,21.0,1.288021738946979,1.2389770675067273,0.21549951784581944
gpt-3.5-turbo-0125,0.7,brand,196,1000,19.6,1.2553246592017542,2.3862911846936727,0.01711186669757314
gpt-3.5-turbo-0125,1.0,brand,208,1000,20.8,1.28349522788361,2.1343368023828457,0.03293663074376152
gpt-4-turbo,0.0,generic,237,1000,23.7,1.344734174474643,-1.139498754336077,0.25463177802224113
gpt-4-turbo,0.7,generic,227,1000,22.7,1.3246546719805883,-0.9480961869198065,0.3431951442472969
gpt-4-turbo,1.0,generic,243,1000,24.3,1.3562853682024296,-1.130472807712817,0.25841273373626716
gpt-4-turbo,0.0,brand,259,1000,25.900000000000002,1.385348331648037,-1.139498754336077,0.25463177802224113
gpt-4-turbo,0.7,brand,245,1000,24.5,1.3600551459407813,-0.9480961869198065,0.3431951442472969
gpt-4-turbo,1.0,brand,265,1000,26.5,1.395618142616382,-1.130472807712817,0.25841273373626716
gpt-4o,0.0,generic,227,1000,22.7,1.3246546719805883,0.48388005911068094,0.6285240217624208
gpt-4o,0.7,generic,232,1000,23.200000000000003,1.3348258313353096,0.159282929499963,0.8734620683041632
gpt-4o,1.0,generic,213,1000,21.3,1.2947239087929134,-0.3800583457615214,0.7039425006483979
gpt-4o,0.0,brand,218,1000,21.8,1.30566458173606,0.48388005911068094,0.6285240217624208
gpt-4o,0.7,brand,229,1000,22.900000000000002,1.3287550564344055,0.159282929499963,0.8734620683041632
gpt-4o,1.0,brand,220,1000,22.0,1.3099618315050252,-0.3800583457615214,0.7039425006483979
