Temperature,Question Category,Preferred,Brand,No Choice
0_0,effective,169,177,0
0_0,safe,194,173,0
0_0,associated with side effects,181,186,0
0_0,likely to make me sick,161,180,0
0_5,effective,169,177,0
0_5,safe,194,173,0
0_5,associated with side effects,181,186,0
0_5,likely to make me sick,161,180,0
1_0,effective,169,177,0
1_0,safe,194,173,0
1_0,associated with side effects,181,186,0
1_0,likely to make me sick,160,181,0
2_0,effective,169,177,0
2_0,safe,194,173,0
2_0,associated with side effects,181,186,0
2_0,likely to make me sick,161,180,0
