Temperature,Question Category,Preferred,Brand,No Choice
0_0,effective,180,187,0
0_0,safe,182,185,0
0_0,associated with side effects,195,172,0
0_0,likely to make me sick,183,184,0
0_5,effective,180,187,0
0_5,safe,182,185,0
0_5,associated with side effects,195,172,0
0_5,likely to make me sick,183,184,0
1_0,effective,180,187,0
1_0,safe,182,185,0
1_0,associated with side effects,195,172,0
1_0,likely to make me sick,183,184,0
2_0,effective,180,187,0
2_0,safe,182,185,0
2_0,associated with side effects,195,172,0
2_0,likely to make me sick,183,184,0
