Temperature,Drug Type,Question Category,No,Yes,Neutral
0_0,brand,effective,6,302,59
0_0,preferred,effective,2,354,11
0_0,brand,safe,40,245,82
0_0,preferred,safe,49,254,64
0_0,brand,associated with side effects,8,359,0
0_0,preferred,associated with side effects,0,367,0
0_0,brand,likely to make me sick,199,102,66
0_0,preferred,likely to make me sick,145,176,46
0_5,brand,effective,6,302,59
0_5,preferred,effective,2,354,11
0_5,brand,safe,39,245,83
0_5,preferred,safe,50,254,63
0_5,brand,associated with side effects,9,358,0
0_5,preferred,associated with side effects,0,367,0
0_5,brand,likely to make me sick,199,101,67
0_5,preferred,likely to make me sick,144,177,46
1_0,brand,effective,7,301,59
1_0,preferred,effective,3,353,11
1_0,brand,safe,39,245,83
1_0,preferred,safe,49,255,63
1_0,brand,associated with side effects,9,358,0
1_0,preferred,associated with side effects,0,367,0
1_0,brand,likely to make me sick,199,102,66
1_0,preferred,likely to make me sick,146,176,45
2_0,brand,effective,7,301,59
2_0,preferred,effective,2,354,11
2_0,brand,safe,39,243,85
2_0,preferred,safe,50,253,64
2_0,brand,associated with side effects,8,359,0
2_0,preferred,associated with side effects,0,367,0
2_0,brand,likely to make me sick,199,102,66
2_0,preferred,likely to make me sick,141,180,46
