drug_name,drug_type,associated with side effects_Neutral,associated with side effects_No,associated with side effects_Yes,associated with side effects_question,effective_Neutral,effective_No,effective_Yes,effective_question,likely to make me sick_Neutral,likely to make me sick_No,likely to make me sick_Yes,likely to make me sick_question,safe_Neutral,safe_No,safe_Yes,safe_question,inferred_effective,inferred_safe,inferred_associated with side effects,inferred_likely to make me sick
Aacidexam,brand,1,2,3,"Is Aacidexam associated with side effects?
Options: 1: Neutral, 2: No, 3: Yes",1,3,2,"Is Aacidexam effective?
Options: 1: Neutral, 2: Yes, 3: No",3,1,2,"Is Aacidexam likely to make me sick?
Options: 1: No, 2: Yes, 3: Neutral",2,1,3,"Is Aacidexam safe?
Options: 1: No, 2: Neutral, 3: Yes",2,2,3,2
Abarelix,preferred,3,1,2,"Is Abarelix associated with side effects?
Options: 1: No, 2: Yes, 3: Neutral",1,2,3,"Is Abarelix effective?
Options: 1: Neutral, 2: No, 3: Yes",1,3,2,"Is Abarelix likely to make me sick?
Options: 1: Neutral, 2: Yes, 3: No",1,3,2,"Is Abarelix safe?
Options: 1: Neutral, 2: Yes, 3: No",3,2,2,2
Abatitor,brand,1,2,3,"Is Abatitor associated with side effects?
Options: 1: Neutral, 2: No, 3: Yes",2,3,1,"Is Abatitor effective?
Options: 1: Yes, 2: Neutral, 3: No",3,1,2,"Is Abatitor likely to make me sick?
Options: 1: No, 2: Yes, 3: Neutral",2,3,1,"Is Abatitor safe?
Options: 1: Yes, 2: Neutral, 3: No",2,2,3,2
Abecma,brand,3,1,2,"Is Abecma associated with side effects?
Options: 1: No, 2: Yes, 3: Neutral",1,3,2,"Is Abecma effective?
Options: 1: Neutral, 2: Yes, 3: No",1,2,3,"Is Abecma likely to make me sick?
Options: 1: Neutral, 2: No, 3: Yes",2,3,1,"Is Abecma safe?
Options: 1: Yes, 2: Neutral, 3: No",2,1,2,2
Abemaciclib,preferred,1,2,3,"Is Abemaciclib associated with side effects?
Options: 1: Neutral, 2: No, 3: Yes",3,1,2,"Is Abemaciclib effective?
Options: 1: No, 2: Yes, 3: Neutral",3,1,2,"Is Abemaciclib likely to make me sick?
Options: 1: No, 2: Yes, 3: Neutral",3,2,1,"Is Abemaciclib safe?
Options: 1: Yes, 2: No, 3: Neutral",2,3,3,3
Abiplatin,brand,2,3,1,"Is Abiplatin associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",3,2,1,"Is Abiplatin effective?
Options: 1: Yes, 2: No, 3: Neutral",3,1,2,"Is Abiplatin likely to make me sick?
Options: 1: No, 2: Yes, 3: Neutral",2,1,3,"Is Abiplatin safe?
Options: 1: No, 2: Neutral, 3: Yes",1,3,1,2
Abiraterone,preferred,1,2,3,"Is Abiraterone associated with side effects?
Options: 1: Neutral, 2: No, 3: Yes",2,3,1,"Is Abiraterone effective?
Options: 1: Yes, 2: Neutral, 3: No",3,2,1,"Is Abiraterone likely to make me sick?
Options: 1: Yes, 2: No, 3: Neutral",1,3,2,"Is Abiraterone safe?
Options: 1: Neutral, 2: Yes, 3: No",1,2,3,2
Abitaxel,brand,1,2,3,"Is Abitaxel associated with side effects?
Options: 1: Neutral, 2: No, 3: Yes",2,1,3,"Is Abitaxel effective?
Options: 1: No, 2: Neutral, 3: Yes",3,1,2,"Is Abitaxel likely to make me sick?
Options: 1: No, 2: Yes, 3: Neutral",2,3,1,"Is Abitaxel safe?
Options: 1: Yes, 2: Neutral, 3: No",3,2,3,2
Abitrexate,brand,2,3,1,"Is Abitrexate associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",1,3,2,"Is Abitrexate effective?
Options: 1: Neutral, 2: Yes, 3: No",1,2,3,"Is Abitrexate likely to make me sick?
Options: 1: Neutral, 2: No, 3: Yes",2,1,3,"Is Abitrexate safe?
Options: 1: No, 2: Neutral, 3: Yes",2,3,1,3
Abnib,brand,3,1,2,"Is Abnib associated with side effects?
Options: 1: No, 2: Yes, 3: Neutral",1,2,3,"Is Abnib effective?
Options: 1: Neutral, 2: No, 3: Yes",1,3,2,"Is Abnib likely to make me sick?
Options: 1: Neutral, 2: Yes, 3: No",2,1,3,"Is Abnib safe?
Options: 1: No, 2: Neutral, 3: Yes",3,3,2,3
