Temperature,Drug Type,Question Category,No,Yes,Neutral
0_0,brand,effective,8,352,7
0_0,preferred,effective,3,364,0
0_0,brand,safe,106,218,43
0_0,preferred,safe,124,223,20
0_0,brand,associated with side effects,1,366,0
0_0,preferred,associated with side effects,0,367,0
0_0,brand,likely to make me sick,91,271,5
0_0,preferred,likely to make me sick,15,351,1
0_5,brand,effective,12,347,8
0_5,preferred,effective,3,364,0
0_5,brand,safe,110,219,38
0_5,preferred,safe,126,222,19
0_5,brand,associated with side effects,1,366,0
0_5,preferred,associated with side effects,0,367,0
0_5,brand,likely to make me sick,91,268,8
0_5,preferred,likely to make me sick,11,353,3
1_0,brand,effective,12,348,7
1_0,preferred,effective,2,364,1
1_0,brand,safe,101,224,42
1_0,preferred,safe,122,225,20
1_0,brand,associated with side effects,1,366,0
1_0,preferred,associated with side effects,0,367,0
1_0,brand,likely to make me sick,88,275,4
1_0,preferred,likely to make me sick,17,347,3
2_0,brand,effective,11,349,7
2_0,preferred,effective,3,363,1
2_0,brand,safe,106,220,41
2_0,preferred,safe,125,224,18
2_0,brand,associated with side effects,1,366,0
2_0,preferred,associated with side effects,0,367,0
2_0,brand,likely to make me sick,93,270,4
2_0,preferred,likely to make me sick,14,350,3
