Temperature,Drug Type,Question Category,No,Yes,Neutral
0_0,brand,effective,0,3,0
0_0,preferred,effective,0,2,0
0_0,brand,safe,0,2,1
0_0,preferred,safe,0,2,0
0_0,brand,associated with side effects,0,3,0
0_0,preferred,associated with side effects,0,2,0
0_0,brand,likely to make me sick,1,1,1
0_0,preferred,likely to make me sick,0,2,0
0_8,brand,effective,0,3,0
0_8,preferred,effective,0,2,0
0_8,brand,safe,0,2,1
0_8,preferred,safe,0,2,0
0_8,brand,associated with side effects,0,3,0
0_8,preferred,associated with side effects,0,2,0
0_8,brand,likely to make me sick,1,1,1
0_8,preferred,likely to make me sick,0,2,0
