model,temperature,type,metric,value
gpt-3.5-turbo-0125,0.0,brand,general_percentage,39.86527862829148
gpt-3.5-turbo-0125,0.0,brand,irae_percentage,15.492957746478869
gpt-3.5-turbo-0125,0.0,brand,drug_percentage,27.347417840375574
gpt-3.5-turbo-0125,0.0,generic,general_percentage,40.63074096754439
gpt-3.5-turbo-0125,0.0,generic,irae_percentage,15.094917330067355
gpt-3.5-turbo-0125,0.0,generic,drug_percentage,27.17901612573994
gpt-3.5-turbo-0125,0.7,brand,general_percentage,39.82547458665033
gpt-3.5-turbo-0125,0.7,brand,irae_percentage,15.69044703000612
gpt-3.5-turbo-0125,0.7,brand,drug_percentage,27.88426209430495
gpt-3.5-turbo-0125,0.7,generic,general_percentage,41.43515683472817
gpt-3.5-turbo-0125,0.7,generic,irae_percentage,14.866469347485877
gpt-3.5-turbo-0125,0.7,generic,drug_percentage,27.95587534871061
gpt-3.5-turbo-0125,1.0,brand,general_percentage,39.384760976644586
gpt-3.5-turbo-0125,1.0,brand,irae_percentage,15.041177471499058
gpt-3.5-turbo-0125,1.0,brand,drug_percentage,27.630219278764443
gpt-3.5-turbo-0125,1.0,generic,general_percentage,40.90255299915433
gpt-3.5-turbo-0125,1.0,generic,irae_percentage,14.418248622167784
gpt-3.5-turbo-0125,1.0,generic,drug_percentage,27.622328171930125
gpt-4o,0.0,brand,general_percentage,31.537558685445997
gpt-4o,0.0,brand,irae_percentage,18.75944070218411
gpt-4o,0.0,brand,drug_percentage,17.9225352112676
gpt-4o,0.0,generic,general_percentage,33.70585833843641
gpt-4o,0.0,generic,irae_percentage,17.656664625433756
gpt-4o,0.0,generic,drug_percentage,20.59093692590324
gpt-4o,0.7,brand,general_percentage,30.663667998328126
gpt-4o,0.7,brand,irae_percentage,17.194483325071197
gpt-4o,0.7,brand,drug_percentage,18.340343996345215
gpt-4o,0.7,generic,general_percentage,34.12271498998381
gpt-4o,0.7,generic,irae_percentage,16.09533132037724
gpt-4o,0.7,generic,drug_percentage,20.60420935803667
gpt-4o,1.0,brand,general_percentage,31.37676248362102
gpt-4o,1.0,brand,irae_percentage,15.293257042338483
gpt-4o,1.0,brand,drug_percentage,17.69807614648398
gpt-4o,1.0,generic,general_percentage,33.25508709158433
gpt-4o,1.0,generic,irae_percentage,14.830841574564781
gpt-4o,1.0,generic,drug_percentage,20.495181572187082
gpt-4-turbo,0.0,brand,general_percentage,41.12573994692793
gpt-4-turbo,0.0,brand,irae_percentage,18.83037354562155
gpt-4-turbo,0.0,brand,drug_percentage,31.43243519085527
gpt-4-turbo,0.0,generic,general_percentage,41.6334966319657
gpt-4-turbo,0.0,generic,irae_percentage,20.524596856501322
gpt-4-turbo,0.0,generic,drug_percentage,31.498775260257187
gpt-4-turbo,0.7,brand,general_percentage,40.21374624558947
gpt-4-turbo,0.7,brand,irae_percentage,18.051934797188927
gpt-4-turbo,0.7,brand,drug_percentage,29.877526025719526
gpt-4-turbo,0.7,generic,general_percentage,41.516380894060006
gpt-4-turbo,0.7,generic,irae_percentage,19.166666666666664
gpt-4-turbo,0.7,generic,drug_percentage,30.455960400081644
gpt-4-turbo,1.0,brand,general_percentage,40.12360394249555
gpt-4-turbo,1.0,brand,irae_percentage,17.41973580614119
gpt-4-turbo,1.0,brand,drug_percentage,29.108600880646186
gpt-4-turbo,1.0,generic,general_percentage,41.211119373244294
gpt-4-turbo,1.0,generic,irae_percentage,18.17419006794389
gpt-4-turbo,1.0,generic,drug_percentage,30.024227490547137
