concept_code,string_type,string,question_about,question_patient,question_physician
4,preferred,Abemaciclib,Tell me about Abemaciclib.,"As a patient, what should I know about Abemaciclib?","As a physician, what should I know about Abemaciclib?"
6,preferred,Abiraterone,Tell me about Abiraterone.,"As a patient, what should I know about Abiraterone?","As a physician, what should I know about Abiraterone?"
7,preferred,Acalabrutinib,Tell me about Acalabrutinib.,"As a patient, what should I know about Acalabrutinib?","As a physician, what should I know about Acalabrutinib?"
9,preferred,Aclarubicin,Tell me about Aclarubicin.,"As a patient, what should I know about Aclarubicin?","As a physician, what should I know about Aclarubicin?"
12,preferred,Trastuzumab emtansine,Tell me about Trastuzumab emtansine.,"As a patient, what should I know about Trastuzumab emtansine?","As a physician, what should I know about Trastuzumab emtansine?"
13,preferred,Afatinib,Tell me about Afatinib.,"As a patient, what should I know about Afatinib?","As a physician, what should I know about Afatinib?"
15,preferred,Aldesleukin,Tell me about Aldesleukin.,"As a patient, what should I know about Aldesleukin?","As a physician, what should I know about Aldesleukin?"
16,preferred,Alectinib,Tell me about Alectinib.,"As a patient, what should I know about Alectinib?","As a physician, what should I know about Alectinib?"
17,preferred,Alemtuzumab,Tell me about Alemtuzumab.,"As a patient, what should I know about Alemtuzumab?","As a physician, what should I know about Alemtuzumab?"
20,preferred,All-trans retinoic acid,Tell me about All-trans retinoic acid.,"As a patient, what should I know about All-trans retinoic acid?","As a physician, what should I know about All-trans retinoic acid?"
23,preferred,Altretamine,Tell me about Altretamine.,"As a patient, what should I know about Altretamine?","As a physician, what should I know about Altretamine?"
28,preferred,Aminoglutethimide,Tell me about Aminoglutethimide.,"As a patient, what should I know about Aminoglutethimide?","As a physician, what should I know about Aminoglutethimide?"
30,preferred,Amrubicin,Tell me about Amrubicin.,"As a patient, what should I know about Amrubicin?","As a physician, what should I know about Amrubicin?"
31,preferred,Amsacrine,Tell me about Amsacrine.,"As a patient, what should I know about Amsacrine?","As a physician, what should I know about Amsacrine?"
33,preferred,Anastrozole,Tell me about Anastrozole.,"As a patient, what should I know about Anastrozole?","As a physician, what should I know about Anastrozole?"
39,preferred,Apalutamide,Tell me about Apalutamide.,"As a patient, what should I know about Apalutamide?","As a physician, what should I know about Apalutamide?"
40,preferred,Apatinib,Tell me about Apatinib.,"As a patient, what should I know about Apatinib?","As a physician, what should I know about Apatinib?"
44,preferred,Arsenic trioxide,Tell me about Arsenic trioxide.,"As a patient, what should I know about Arsenic trioxide?","As a physician, what should I know about Arsenic trioxide?"
45,preferred,Asparaginase,Tell me about Asparaginase.,"As a patient, what should I know about Asparaginase?","As a physician, what should I know about Asparaginase?"
46,preferred,Asparaginase Erwinia chrysanthemi,Tell me about Asparaginase Erwinia chrysanthemi.,"As a patient, what should I know about Asparaginase Erwinia chrysanthemi?","As a physician, what should I know about Asparaginase Erwinia chrysanthemi?"
49,preferred,Atezolizumab,Tell me about Atezolizumab.,"As a patient, what should I know about Atezolizumab?","As a physician, what should I know about Atezolizumab?"
53,preferred,Avelumab,Tell me about Avelumab.,"As a patient, what should I know about Avelumab?","As a physician, what should I know about Avelumab?"
54,preferred,Axicabtagene ciloleucel,Tell me about Axicabtagene ciloleucel.,"As a patient, what should I know about Axicabtagene ciloleucel?","As a physician, what should I know about Axicabtagene ciloleucel?"
55,preferred,Axitinib,Tell me about Axitinib.,"As a patient, what should I know about Axitinib?","As a physician, what should I know about Axitinib?"
56,preferred,Azacitidine,Tell me about Azacitidine.,"As a patient, what should I know about Azacitidine?","As a physician, what should I know about Azacitidine?"
59,preferred,Bacillus Calmette-Guerin,Tell me about Bacillus Calmette-Guerin.,"As a patient, what should I know about Bacillus Calmette-Guerin?","As a physician, what should I know about Bacillus Calmette-Guerin?"
61,preferred,Bavituximab,Tell me about Bavituximab.,"As a patient, what should I know about Bavituximab?","As a physician, what should I know about Bavituximab?"
63,preferred,Belinostat,Tell me about Belinostat.,"As a patient, what should I know about Belinostat?","As a physician, what should I know about Belinostat?"
64,preferred,Belotecan,Tell me about Belotecan.,"As a patient, what should I know about Belotecan?","As a physician, what should I know about Belotecan?"
65,preferred,Bendamustine,Tell me about Bendamustine.,"As a patient, what should I know about Bendamustine?","As a physician, what should I know about Bendamustine?"
68,preferred,Bevacizumab,Tell me about Bevacizumab.,"As a patient, what should I know about Bevacizumab?","As a physician, what should I know about Bevacizumab?"
69,preferred,Bexarotene,Tell me about Bexarotene.,"As a patient, what should I know about Bexarotene?","As a physician, what should I know about Bexarotene?"
70,preferred,Bicalutamide,Tell me about Bicalutamide.,"As a patient, what should I know about Bicalutamide?","As a physician, what should I know about Bicalutamide?"
