Model,Temperature,Type,Accuracy (%)
gpt-4-turbo,0.0,brand name,96.02
gpt-4-turbo,0.0,preferred name,93.90
gpt-4-turbo,0.7,brand name,95.69
gpt-4-turbo,0.7,preferred name,93.84
gpt-4-turbo,1.0,brand name,95.59
gpt-4-turbo,1.0,preferred name,93.30
gpt-3.5-turbo-0125,0.0,brand name,84.31
gpt-3.5-turbo-0125,0.0,preferred name,84.85
gpt-3.5-turbo-0125,0.7,brand name,83.65
gpt-3.5-turbo-0125,0.7,preferred name,85.01
gpt-3.5-turbo-0125,1.0,brand name,83.16
gpt-3.5-turbo-0125,1.0,preferred name,84.31
gpt-4o,0.0,brand name,96.78
gpt-4o,0.0,preferred name,95.26
gpt-4o,0.7,brand name,96.62
gpt-4o,0.7,preferred name,95.04
gpt-4o,1.0,brand name,96.62
gpt-4o,1.0,preferred name,94.88
