unique_id,type,response_0.0,response_0.7,response_1.0
0,brand,The,Based,Based
1,brand,Based,Based,Based
10,brand,Based,Based,The
101,brand,Based,Based,I
103,brand,2,2,Based
104,brand,Based,The,Based
105,brand,Based,The,Based
106,brand,12,Based,12
107,brand,Based,Based,Based
108,brand,Based,Based,Based
109,brand,Based,Given,Based
11,brand,The,The,The
110,brand,The,Based,3
111,brand,The,Based,6
112,brand,Based,Based,Based
113,brand,Based,Based,Taking
114,brand,The,Based,Based
115,brand,Based,The,The
116,brand,Based,The,The
117,brand,The,The,The
119,brand,Based,Based,Based
12,brand,60,The,Given
120,brand,1,1,1
121,brand,Based,Based,Based
122,brand,Based,Based,Based
123,brand,The,The,Based
124,brand,Based,Based,Based
125,brand,Based,The,Based
126,brand,Based,Based,Based
127,brand,Based,Based,Based
128,brand,Based,Based,I
129,brand,3,Based,Based
13,brand,Based,The,Based
130,brand,Based,Given,Based
131,brand,Based,Based,Based
132,brand,Based,Based,The
134,brand,The,Based,Based
135,brand,Based,Based,The
136,brand,The,The,The
137,brand,The,The,The
138,brand,The,I,The
139,brand,Based,Based,Based
140,brand,Based,Based,Taking
141,brand,Based,4,Based
142,brand,Based,Based,Based
143,brand,Based,12,12
144,brand,12,The,12
145,brand,Based,The,With
146,brand,The,Based,The
147,brand,The,Based,The
148,brand,Based,Based,Taking
149,brand,Based,Based,The
15,brand,The,Based,Based
150,brand,Based,Based,From
151,brand,The,The,The
152,brand,Based,The,The
153,brand,Based,Based,Based
154,brand,Based,Based,The
155,brand,Based,Considering,I
156,brand,12,Based,12
157,brand,Based,Based,Based
158,brand,Based,Based,Based
16,brand,60,Based,Based
160,brand,Based,The,Based
161,brand,Based,Based,Based
162,brand,The,The,Taking
163,brand,Based,The,Based
164,brand,Based,Based,Based
165,brand,Based,6,Taking
166,brand,Based,The,The
167,brand,Based,Based,Based
168,brand,Based,Based,Given
169,brand,Based,I,The
17,brand,The,The,The
170,brand,Based,Based,The
171,brand,The,Based,Considering
172,brand,Based,The,The
173,brand,Based,The,Based
174,brand,Based,The,Based
175,brand,Based,Based,Considering
176,brand,Based,Based,Based
177,brand,Based,The,Based
178,brand,Based,Based,Based
179,brand,Based,Based,Based
180,brand,Based,Based,Based
181,brand,Based,The,Considering
182,brand,Based,Based,The
183,brand,Based,Given,Taking
184,brand,The,Based,The
185,brand,Based,The,Based
186,brand,Based,Based,Based
187,brand,Based,Based,Based
188,brand,12,12,18
189,brand,Based,Based,The
19,brand,The,Based,Given
190,brand,Based,Based,12
191,brand,Based,Approx,Based
192,brand,Based,Based,Based
193,brand,Based,Taking,Based
194,brand,Based,Based,Considering
195,brand,2,Based,I
196,brand,Based,Based,Based
197,brand,Based,Based,Based
199,brand,Based,I,Unfortunately
20,brand,The,36,60
21,brand,Based,Based,Based
22,brand,The,Based,Based
23,brand,The,The,Based
24,brand,The,The,The
25,brand,The,18,12
26,brand,Based,Based,The
27,brand,60,The,60
28,brand,Based,Based,The
29,brand,The,I,Based
3,brand,The,Based,Based
30,brand,The,Based,This
31,brand,Based,Based,Based
32,brand,Based,Based,Based
33,brand,12,12,12
34,brand,60,60,The
35,brand,Based,Based,Based
36,brand,The,Based,The
37,brand,Based,Based,The
38,brand,The,Based,Taking
39,brand,12,18,The
4,brand,Based,Based,Based
40,brand,The,Based,I
41,brand,36,36,60
42,brand,Based,Based,Based
43,brand,12,Based,The
44,brand,Based,Based,The
45,brand,12,12,12
46,brand,The,48,Based
47,brand,The,The,The
48,brand,The,Based,The
49,brand,Based,The,Given
5,brand,Based,The,Based
50,brand,Based,Considering,Given
51,brand,The,24,18
52,brand,The,Based,Based
53,brand,Based,Based,Based
54,brand,60,60,The
55,brand,The,Based,The
56,brand,Based,Based,Based
57,brand,Based,Based,With
58,brand,The,I,The
6,brand,Based,Based,Based
60,brand,The,The,Based
62,brand,12,12,12
63,brand,The,The,12
64,brand,The,18,18
65,brand,The,The,I
66,brand,The,The,The
69,brand,12,12,12
7,brand,Based,The,Based
70,brand,The,24,Taking
71,brand,Based,36,The
72,brand,The,Based,The
73,brand,Based,The,I
74,brand,The,The,Given
75,brand,Based,Based,Based
76,brand,The,Based,The
77,brand,Based,Based,Based
78,brand,Based,Based,Based
79,brand,Based,12,Based
8,brand,Based,Based,The
80,brand,The,Based,The
81,brand,The,Based,Considering
82,brand,Based,Based,Given
83,brand,Based,The,Based
84,brand,Based,The,Based
85,brand,Based,Based,The
87,brand,The,Based,Based
88,brand,The,The,36
89,brand,Based,Based,Based
9,brand,Based,The,Based
90,brand,Based,The,The
91,brand,Based,Based,Based
92,brand,The,The,The
93,brand,Based,Based,12
94,brand,Based,Based,This
95,brand,The,Based,Based
97,brand,Based,Based,Based
98,brand,The,Based,Based
99,brand,Based,Based,Based
0,generic,The,The,Based
1,generic,Based,The,Unfortunately
10,generic,Based,Based,Based
101,generic,The,Based,The
103,generic,2,2,2
104,generic,Based,Based,The
105,generic,Based,Based,Based
106,generic,12,12,12
107,generic,Based,Based,Based
108,generic,Based,Based,Based
109,generic,Based,Based,Based
11,generic,Based,Based,Based
110,generic,The,Taking,3
111,generic,The,The,The
112,generic,Based,The,Considering
113,generic,Based,Based,Based
114,generic,Based,I,Given
115,generic,The,The,Based
116,generic,Based,Based,The
117,generic,The,The,I
119,generic,Based,Given,The
12,generic,60,The,96
120,generic,1,1,1
121,generic,Based,Based,Based
122,generic,Based,Based,Based
123,generic,The,The,The
124,generic,Based,Based,Based
125,generic,Based,The,Given
126,generic,Based,The,The
127,generic,Based,Based,Based
128,generic,Based,Based,Considering
129,generic,Taking,The,3
13,generic,Based,The,Given
130,generic,Based,Given,Based
131,generic,Based,Based,The
132,generic,The,I,Taking
134,generic,The,The,The
135,generic,Based,Based,12
136,generic,The,The,Based
137,generic,The,The,Taking
138,generic,The,The,The
139,generic,Based,Taking,The
140,generic,Based,Based,Based
141,generic,Based,Based,Based
142,generic,Based,Based,Based
143,generic,Based,The,Based
144,generic,The,The,I
145,generic,I,Based,Considering
146,generic,Based,Given,Based
147,generic,The,The,The
148,generic,Based,Based,Based
149,generic,Based,Taking,Based
15,generic,60,Based,The
150,generic,Based,Based,Approx
151,generic,The,The,The
152,generic,Based,The,Based
153,generic,Based,Based,The
154,generic,Based,The,Less
155,generic,Based,Based,Based
156,generic,12,Considering,Based
157,generic,Based,Based,Based
158,generic,Based,Given,Based
16,generic,60,Based,60
160,generic,Based,12,Based
161,generic,Based,Based,The
162,generic,The,Based,The
163,generic,Based,Based,The
164,generic,Based,Based,The
165,generic,Based,Based,Based
166,generic,Based,Based,The
167,generic,Based,Based,Based
168,generic,Based,The,Based
169,generic,Based,12,Based
17,generic,The,The,With
170,generic,Based,The,The
171,generic,The,Based,Approx
172,generic,Based,Based,I
173,generic,Based,12,Given
174,generic,Based,The,Based
175,generic,Based,Based,The
176,generic,Based,Given,Based
177,generic,Based,The,Taking
178,generic,Based,Based,12
179,generic,Based,Based,Based
180,generic,Based,Unfortunately,The
181,generic,Based,Based,Given
182,generic,Based,Based,Based
183,generic,Based,Based,Based
184,generic,The,Based,Based
185,generic,Based,Based,Based
186,generic,Based,Considering,Based
187,generic,Based,Based,The
188,generic,The,Based,Based
189,generic,Based,The,Based
19,generic,The,Based,The
190,generic,Based,Based,Based
191,generic,Based,Based,Based
192,generic,Based,Based,Based
193,generic,Based,Based,Taking
194,generic,Based,The,Based
195,generic,The,The,2
196,generic,Based,Based,Taking
197,generic,Based,Based,Based
199,generic,Based,Based,Based
20,generic,The,The,I
21,generic,Based,Based,Based
22,generic,The,The,The
23,generic,Based,The,The
24,generic,The,The,Based
25,generic,The,The,Given
26,generic,Based,The,Based
27,generic,60,60,60
28,generic,Based,Based,36
29,generic,The,12,Based
3,generic,The,The,24
30,generic,Based,Based,Based
31,generic,Based,Based,Based
32,generic,Based,Given,Based
33,generic,12,12,12
34,generic,60,60,Based
35,generic,Based,Based,Given
36,generic,The,I,Based
37,generic,Based,Taking,Given
38,generic,The,Based,The
39,generic,12,12,Based
4,generic,Based,Based,7
40,generic,The,The,I
41,generic,36,36,36
42,generic,Based,Based,Considering
43,generic,Based,Based,The
44,generic,Based,Based,Based
45,generic,12,12,12
46,generic,The,With,Based
47,generic,The,The,Given
48,generic,Based,The,Based
49,generic,Based,The,12
5,generic,The,Based,Given
50,generic,Based,Based,Based
51,generic,The,The,The
52,generic,The,Based,The
53,generic,Based,The,Based
54,generic,60,60,60
55,generic,The,Based,The
56,generic,Based,Based,Based
57,generic,Based,Based,The
58,generic,12,18,The
6,generic,The,Based,I
60,generic,The,The,The
62,generic,12,12,12
63,generic,The,The,The
64,generic,The,The,18
65,generic,The,I,The
66,generic,The,The,Taking
69,generic,12,Based,The
7,generic,Based,Based,Based
70,generic,The,12,18
71,generic,The,The,The
72,generic,The,Based,I
73,generic,12,12,12
74,generic,The,Based,The
75,generic,Based,Based,Based
76,generic,36,36,I
77,generic,Based,Based,Based
78,generic,Based,Based,Based
79,generic,The,Based,The
8,generic,Based,Based,Based
80,generic,Based,Based,Based
81,generic,The,24,Based
82,generic,Based,The,12
83,generic,Based,Based,Based
84,generic,Based,The,Based
85,generic,Based,Based,The
87,generic,The,The,Based
88,generic,The,The,36
89,generic,Based,The,Based
9,generic,The,The,Based
90,generic,The,The,The
91,generic,Based,Based,Based
92,generic,Based,Based,The
93,generic,Based,Based,Based
94,generic,Based,Based,Based
95,generic,Based,The,The
97,generic,Based,Based,Based
98,generic,Based,Based,Based
99,generic,Based,The,Given
